HS,GTAP
100610,1
100620,1
100110,2
100190,2
100200,3
100300,3
100400,3
100510,3
100590,3
100700,3
100810,3
100820,3
100830,3
100890,3
70110,4
70190,4
70200,4
70310,4
70320,4
70390,4
70410,4
70420,4
70490,4
70511,4
70519,4
70521,4
70529,4
70610,4
70690,4
70700,4
70810,4
70820,4
70890,4
70920,4
70930,4
70940,4
70951,4
70959,4
70960,4
70970,4
70990,4
71310,4
71320,4
71331,4
71332,4
71333,4
71339,4
71340,4
71350,4
71390,4
71410,4
71420,4
71490,4
80111,4
80119,4
80121,4
80122,4
80131,4
80132,4
80211,4
80212,4
80221,4
80222,4
80231,4
80232,4
80240,4
80250,4
80260,4
80290,4
80300,4
80410,4
80420,4
80430,4
80440,4
80450,4
80510,4
80520,4
80540,4
80550,4
80590,4
80610,4
80620,4
80711,4
80719,4
80720,4
80810,4
80820,4
80910,4
80920,4
80930,4
80940,4
81010,4
81020,4
81040,4
81050,4
81060,4
81090,4
81310,4
81320,4
81330,4
81340,4
81350,4
120100,5
120210,5
120220,5
120300,5
120400,5
120510,5
120590,5
120600,5
120720,5
120740,5
120750,5
120791,5
120799,5
121291,6
520100,7
530110,7
530210,7
530310,7
530500,7
60110,8
60120,8
60210,8
60220,8
60230,8
60240,8
60290,8
60311,8
60312,8
60313,8
60314,8
60319,8
60390,8
90111,8
90220,8
90240,8
90300,8
90411,8
90412,8
90420,8
90500,8
90611,8
90619,8
90620,8
90700,8
90810,8
90820,8
90830,8
90910,8
90920,8
90930,8
90940,8
90950,8
91010,8
91020,8
91030,8
91091,8
91099,8
120910,8
120921,8
120922,8
120923,8
120924,8
120925,8
120929,8
120930,8
120991,8
120999,8
121010,8
121020,8
121120,8
121130,8
121140,8
121190,8
121299,8
121300,8
121410,8
121490,8
180100,8
230800,8
240110,8
240120,8
240130,8
10110,9
10190,9
10210,9
10290,9
10410,9
10420,9
51110,9
10310,10
10391,10
10392,10
10511,10
10512,10
10519,10
10594,10
10599,10
10611,10
10612,10
10619,10
10620,10
10631,10
10632,10
10639,10
10690,10
30760,10
